Name,Latitude,Longitude,Link,Photo,Description,Status
Skagfjörðsskáli Hut,63.6849449,-19.5126214,https://example.com/hut-info,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68ae0ff249c12184e1865dd2_68801a4989de05ba76b8416f_Langidalur%20thorsmrok7035-p-800.jpg,,Active
Blágil Hut,63.9666976,-18.3219473,https://example.com/hut-info,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68b84d0210496000a2be05fa_blagil-hut.jpg,,Active
Strútur Hut,63.83905,-18.97444,https://example.com/hut-info,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68d2fa0b5debc742b87c93c5_strutur-hut.jpg,,Active
Nyidalur FI Mountain Hut,64.734942,-18.072574,https://www.fi.is/en/mountain-huts/all-mountain-huts/nyidalur,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68d312f811a8886b8ba28814_nyidalur-hut.jpg,,Active
Þorsteinsskáli,65.19287,-16.22264,https://www.fi.is/is/skalar/skalar-ferdafelags-islands/thorsteinsskali,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68de7bdedbd383c39dcdf325_%C3%BEorsteinsskali.jpg,,Active
Jökulheimar Hut,64.310308,-18.238683,https://jorfi.is/skalar/,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68debb983343ba71692c3230_jokulhemair-hut.jpg,,Active
Hagavatn Hut,64.462549,-20.24393,https://www.fi.is/en/mountain-huts/all-mountain-huts/hagavatn,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68deddb6dc2b4952ac55fff3_hagavatn-hut.jpg,,Active
Þjófadalir Hut,64.814895,-19.708942,https://www.fi.is/is/skalar/skalar-ferdafelags-islands/thjofadalir,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68e189b1cf566080a196e157_thjofadalir-hut.jpg,,Active
Laugafell Hut,65.027588,-18.332083,https://www.fi.is/is/skalar/skalar-ferdafelags-islands/laugafell,https://cdn.prod.website-files.com/687ebfrd20183c0459d68784/68e19ded309f06bd2d82b748_laugafell-hut.jpg,,Active
Húsavík Hut,65.395086,-13.735203,https://www.fi.is/en/mountain-huts/all-mountain-huts/husavik,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68e59ffa08f06c7e5eb7bfa5_husavikurskalli-hut.jpg,,Active
Loðmundarfjarðarskáli Hut,65.365173,-13.896074,https://www.east.is/en/service/ferdafelag-fljotsdalsherads-lodmundarfjordur-klyppstadur,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68e5a24dd6d78a1717fb1328_lodmundarfjardarskalli.webp,,Active
Múlaskáli Hut,64.552585,-15.151429,https://gonguferdir.is/mulaskali/,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68e91fa34a83e3b8795a882c_mulaskali-hut.jpg,,Active
Hólaskjól,63.907473,-18.604534,https://www.eldgja.is/,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/690e4b6d8835097d4f6a74dd_holaskjol.jpg,,Active
Álftavatn Hut,63.857772,-19.227372,https://www.fi.is/en/mountain-huts/all-mountain-huts/alftavatn,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/690fa74678d5969fded1584e_alftavatn-hut.webp,,Active
Áfangagil Hut,64.101053,-19.575073,https://www.afangagil.is/,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/690fb41dd72653d601c7d1ab_afangagil-hut.avif,,Active
Tjarnarkot Hut,64.13357,-18.78825,https://veidivotn.is/veidileyfi-og-gisting/,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/690fccb69a5d8e0436ae8d0e_tjarnarkot-hut.webp,,Active
Árbúðir Hut,64.609206,-19.703609,https://islandshestar.is/kjolur-nature-escape/,https://cdn.prod.website-files.com/687ebfrd20183c0459d68784/690fd7760dc7f93e80efe01d_arbudir.avif,,Active
Hvítárnes Hut,64.617945,-19.757752,https://www.fi.is/en/mountain-huts/all-mountain-huts/hvitarnes,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/690fd58f9314bb340d7a0930_hvitarnes-hut.jpg,,Active
Gíslaskáli Hut,64.743487,-19.431748,https://islandshestar.is/kjolur-nature-escape/,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/690fd7d837dad6ad2875a9f0_gislaskali-hut.avif,,Active
